player 0 : naive_pref player 1 : guess_carre
player 0 : 60 player 1 : 139
player 0 : 60 player 1 : 140
player 0 : 61 player 1 : 140
player 0 : 61 player 1 : 141
player 0 : 61 player 1 : 142
player 0 : 61 player 1 : 143
player 0 : 62 player 1 : 143
player 0 : 62 player 1 : 144
player 0 : 62 player 1 : 145
player 0 : 63 player 1 : 145
player 0 : 64 player 1 : 145
player 0 : 65 player 1 : 145
player 0 : 65 player 1 : 146
player 0 : 65 player 1 : 147
player 0 : 65 player 1 : 148
player 0 : 65 player 1 : 149
player 0 : 65 player 1 : 150
player 0 : 66 player 1 : 150
player 0 : 66 player 1 : 151
player 0 : 66 player 1 : 152
player 0 : 67 player 1 : 152
player 0 : 68 player 1 : 152
player 0 : 68 player 1 : 153
player 0 : 69 player 1 : 153
player 0 : 70 player 1 : 153
player 0 : 70 player 1 : 154
player 0 : 71 player 1 : 154
player 0 : 71 player 1 : 155
player 0 : 72 player 1 : 155
player 0 : 73 player 1 : 155
player 0 : 74 player 1 : 155
player 0 : 74 player 1 : 156
player 0 : 75 player 1 : 156
player 0 : 76 player 1 : 156
player 0 : 77 player 1 : 156
player 0 : 78 player 1 : 156
player 0 : 79 player 1 : 156
player 0 : 79 player 1 : 157
player 0 : 79 player 1 : 158
player 0 : 80 player 1 : 158
player 0 : 80 player 1 : 159
player 0 : 81 player 1 : 159
player 0 : 81 player 1 : 160
player 0 : 81 player 1 : 161
player 0 : 81 player 1 : 162
player 0 : 82 player 1 : 162
player 0 : 83 player 1 : 162
player 0 : 84 player 1 : 162
player 0 : 84 player 1 : 163
player 0 : 84 player 1 : 164
player 0 : 85 player 1 : 164
player 0 : 86 player 1 : 164
player 0 : 86 player 1 : 165
player 0 : 86 player 1 : 166
player 0 : 86 player 1 : 167
player 0 : 87 player 1 : 167
player 0 : 87 player 1 : 168
player 0 : 88 player 1 : 168
player 0 : 89 player 1 : 168
player 0 : 89 player 1 : 169
player 0 : 90 player 1 : 169
player 0 : 90 player 1 : 170
player 0 : 90 player 1 : 171
player 0 : 90 player 1 : 172
player 0 : 90 player 1 : 173
player 0 : 91 player 1 : 173
player 0 : 91 player 1 : 174
player 0 : 91 player 1 : 175
player 0 : 91 player 1 : 176
player 0 : 92 player 1 : 176
player 0 : 92 player 1 : 177
player 0 : 92 player 1 : 178
player 0 : 93 player 1 : 178
player 0 : 93 player 1 : 179
player 0 : 93 player 1 : 180
player 0 : 94 player 1 : 180
player 0 : 94 player 1 : 181
player 0 : 95 player 1 : 181
player 0 : 95 player 1 : 182
player 0 : 95 player 1 : 183
player 0 : 95 player 1 : 184
player 0 : 95 player 1 : 185
player 0 : 96 player 1 : 185
player 0 : 96 player 1 : 186
player 0 : 96 player 1 : 187
player 0 : 96 player 1 : 188
player 0 : 97 player 1 : 188
player 0 : 97 player 1 : 189
player 0 : 97 player 1 : 190
player 0 : 98 player 1 : 190
player 0 : 98 player 1 : 191
player 0 : 98 player 1 : 192
player 0 : 98 player 1 : 193
player 0 : 99 player 1 : 193
player 0 : 99 player 1 : 194
player 0 : 100 player 1 : 194
player 0 : 101 player 1 : 194
player 0 : 101 player 1 : 195
player 0 : 101 player 1 : 196
player 0 : 101 player 1 : 197
player 0 : 101 player 1 : 198
player 0 : 102 player 1 : 198
player 0 : 102 player 1 : 199
player 0 : 102 player 1 : 200
player 0 : 103 player 1 : 200
player 0 : 103 player 1 : 201
player 0 : 103 player 1 : 202
player 0 : 104 player 1 : 202
player 0 : 104 player 1 : 203
player 0 : 104 player 1 : 204
player 0 : 104 player 1 : 205
player 0 : 105 player 1 : 205
player 0 : 105 player 1 : 206
player 0 : 106 player 1 : 206
player 0 : 106 player 1 : 207
player 0 : 106 player 1 : 208
player 0 : 107 player 1 : 208
player 0 : 107 player 1 : 209
player 0 : 107 player 1 : 210
player 0 : 107 player 1 : 211
player 0 : 108 player 1 : 211
player 0 : 108 player 1 : 212
player 0 : 108 player 1 : 213
player 0 : 108 player 1 : 214
player 0 : 108 player 1 : 215
player 0 : 109 player 1 : 215
player 0 : 110 player 1 : 215
player 0 : 111 player 1 : 215
player 0 : 111 player 1 : 216
player 0 : 112 player 1 : 216
player 0 : 113 player 1 : 216
player 0 : 114 player 1 : 216
player 0 : 115 player 1 : 216
player 0 : 115 player 1 : 217
player 0 : 116 player 1 : 217
player 0 : 116 player 1 : 218
player 0 : 116 player 1 : 219
player 0 : 116 player 1 : 220
player 0 : 117 player 1 : 220
player 0 : 118 player 1 : 220
player 0 : 118 player 1 : 221
player 0 : 118 player 1 : 222
player 0 : 118 player 1 : 223
player 0 : 119 player 1 : 223
player 0 : 120 player 1 : 223
player 0 : 120 player 1 : 224
player 0 : 120 player 1 : 225
player 0 : 120 player 1 : 226
player 0 : 121 player 1 : 226
player 0 : 122 player 1 : 226
player 0 : 122 player 1 : 227
player 0 : 122 player 1 : 228
player 0 : 123 player 1 : 228
player 0 : 124 player 1 : 228
player 0 : 125 player 1 : 228
player 0 : 126 player 1 : 228
player 0 : 126 player 1 : 229
player 0 : 127 player 1 : 229
player 0 : 127 player 1 : 230
player 0 : 127 player 1 : 231
player 0 : 127 player 1 : 232
player 0 : 127 player 1 : 233
player 0 : 127 player 1 : 234
player 0 : 127 player 1 : 235
player 0 : 128 player 1 : 235
player 0 : 128 player 1 : 236
player 0 : 128 player 1 : 237
player 0 : 129 player 1 : 237
player 0 : 130 player 1 : 237
player 0 : 130 player 1 : 238
player 0 : 130 player 1 : 239
player 0 : 130 player 1 : 240
player 0 : 130 player 1 : 241
player 0 : 130 player 1 : 242
player 0 : 131 player 1 : 242
player 0 : 131 player 1 : 243
player 0 : 132 player 1 : 243
player 0 : 133 player 1 : 243
player 0 : 133 player 1 : 244
player 0 : 134 player 1 : 244
player 0 : 135 player 1 : 244
player 0 : 136 player 1 : 244
player 0 : 137 player 1 : 244
player 0 : 138 player 1 : 244
player 0 : 139 player 1 : 244
player 0 : 140 player 1 : 244
player 0 : 141 player 1 : 244
player 0 : 142 player 1 : 244
player 0 : 142 player 1 : 245
player 0 : 142 player 1 : 246
player 0 : 142 player 1 : 247
player 0 : 142 player 1 : 248
player 0 : 142 player 1 : 249
player 0 : 142 player 1 : 250
player 0 : 142 player 1 : 251
player 0 : 143 player 1 : 251
player 0 : 143 player 1 : 252
player 0 : 143 player 1 : 253
player 0 : 143 player 1 : 254
player 0 : 143 player 1 : 255
player 0 : 143 player 1 : 256
player 0 : 143 player 1 : 257
player 0 : 143 player 1 : 258
player 0 : 143 player 1 : 259
player 0 : 143 player 1 : 260
player 0 : 144 player 1 : 260
player 0 : 144 player 1 : 261
player 0 : 145 player 1 : 261
player 0 : 146 player 1 : 261
player 0 : 146 player 1 : 262
player 0 : 146 player 1 : 263
player 0 : 146 player 1 : 264
player 0 : 146 player 1 : 265
player 0 : 146 player 1 : 266
player 0 : 147 player 1 : 266
player 0 : 148 player 1 : 266
player 0 : 148 player 1 : 267
player 0 : 148 player 1 : 268
player 0 : 148 player 1 : 269
player 0 : 149 player 1 : 269
player 0 : 150 player 1 : 269
player 0 : 150 player 1 : 270
player 0 : 150 player 1 : 271
player 0 : 151 player 1 : 271
player 0 : 151 player 1 : 272
player 0 : 152 player 1 : 272
player 0 : 152 player 1 : 273
player 0 : 152 player 1 : 274
player 0 : 152 player 1 : 275
player 0 : 152 player 1 : 276
player 0 : 153 player 1 : 276
player 0 : 154 player 1 : 276
player 0 : 155 player 1 : 276
player 0 : 156 player 1 : 276
player 0 : 157 player 1 : 276
player 0 : 157 player 1 : 277
player 0 : 157 player 1 : 278
player 0 : 157 player 1 : 279
player 0 : 157 player 1 : 280
player 0 : 157 player 1 : 281
player 0 : 158 player 1 : 281
player 0 : 159 player 1 : 281
player 0 : 160 player 1 : 281
player 0 : 160 player 1 : 282
player 0 : 160 player 1 : 283
player 0 : 161 player 1 : 283
player 0 : 162 player 1 : 283
player 0 : 162 player 1 : 284
player 0 : 162 player 1 : 285
player 0 : 163 player 1 : 285
player 0 : 164 player 1 : 285
player 0 : 164 player 1 : 286
player 0 : 164 player 1 : 287
player 0 : 165 player 1 : 287
player 0 : 165 player 1 : 288
player 0 : 165 player 1 : 289
player 0 : 165 player 1 : 290
player 0 : 165 player 1 : 291
player 0 : 165 player 1 : 292
player 0 : 165 player 1 : 293
player 0 : 165 player 1 : 294
player 0 : 165 player 1 : 295
player 0 : 165 player 1 : 296
player 0 : 165 player 1 : 297
player 0 : 165 player 1 : 298
player 0 : 165 player 1 : 299
player 0 : 166 player 1 : 299
player 0 : 166 player 1 : 300
player 0 : 167 player 1 : 300
player 0 : 168 player 1 : 300
player 0 : 168 player 1 : 301
player 0 : 169 player 1 : 301
player 0 : 169 player 1 : 302
player 0 : 170 player 1 : 302
player 0 : 170 player 1 : 303
player 0 : 171 player 1 : 303
player 0 : 171 player 1 : 304
player 0 : 171 player 1 : 305
player 0 : 171 player 1 : 306
player 0 : 171 player 1 : 307
player 0 : 172 player 1 : 307
player 0 : 173 player 1 : 307
player 0 : 173 player 1 : 308
player 0 : 173 player 1 : 309
player 0 : 173 player 1 : 310
player 0 : 173 player 1 : 311
player 0 : 173 player 1 : 312
player 0 : 173 player 1 : 313
player 0 : 174 player 1 : 313
player 0 : 174 player 1 : 314
player 0 : 174 player 1 : 315
player 0 : 174 player 1 : 316
player 0 : 174 player 1 : 317
player 0 : 175 player 1 : 317
player 0 : 175 player 1 : 318
player 0 : 175 player 1 : 319
player 0 : 176 player 1 : 319
player 0 : 176 player 1 : 320
player 0 : 177 player 1 : 320
player 0 : 177 player 1 : 321
player 0 : 178 player 1 : 321
player 0 : 178 player 1 : 322
player 0 : 178 player 1 : 323
player 0 : 179 player 1 : 323
player 0 : 179 player 1 : 324
player 0 : 179 player 1 : 325
player 0 : 180 player 1 : 325
player 0 : 180 player 1 : 326
player 0 : 180 player 1 : 327
player 0 : 180 player 1 : 328
player 0 : 180 player 1 : 329
player 0 : 181 player 1 : 329
player 0 : 181 player 1 : 330
player 0 : 181 player 1 : 331
player 0 : 182 player 1 : 331
player 0 : 182 player 1 : 332
player 0 : 183 player 1 : 332
player 0 : 183 player 1 : 333
player 0 : 183 player 1 : 334
player 0 : 183 player 1 : 335
player 0 : 183 player 1 : 336
player 0 : 183 player 1 : 337
player 0 : 184 player 1 : 337
player 0 : 184 player 1 : 338
player 0 : 185 player 1 : 338
player 0 : 185 player 1 : 339
player 0 : 186 player 1 : 339
player 0 : 186 player 1 : 340
player 0 : 187 player 1 : 340
player 0 : 188 player 1 : 340
player 0 : 188 player 1 : 341
player 0 : 188 player 1 : 342
player 0 : 189 player 1 : 342
player 0 : 190 player 1 : 342
player 0 : 190 player 1 : 343
player 0 : 190 player 1 : 344
player 0 : 191 player 1 : 344
player 0 : 191 player 1 : 345
player 0 : 191 player 1 : 346
player 0 : 192 player 1 : 346
player 0 : 192 player 1 : 347
player 0 : 192 player 1 : 348
player 0 : 192 player 1 : 349
player 0 : 193 player 1 : 349
player 0 : 193 player 1 : 350
player 0 : 194 player 1 : 350
player 0 : 195 player 1 : 350
player 0 : 195 player 1 : 351
player 0 : 196 player 1 : 351
player 0 : 197 player 1 : 351
player 0 : 198 player 1 : 351
player 0 : 199 player 1 : 351
player 0 : 199 player 1 : 352
player 0 : 200 player 1 : 352
player 0 : 200 player 1 : 353
player 0 : 201 player 1 : 353
player 0 : 202 player 1 : 353
player 0 : 203 player 1 : 353
player 0 : 203 player 1 : 354
player 0 : 203 player 1 : 355
player 0 : 204 player 1 : 355
player 0 : 204 player 1 : 356
player 0 : 204 player 1 : 357
player 0 : 204 player 1 : 358
player 0 : 204 player 1 : 359
player 0 : 205 player 1 : 359
player 0 : 205 player 1 : 360
player 0 : 206 player 1 : 360
player 0 : 207 player 1 : 360
player 0 : 207 player 1 : 361
player 0 : 208 player 1 : 361
player 0 : 208 player 1 : 362
player 0 : 209 player 1 : 362
player 0 : 209 player 1 : 363
player 0 : 209 player 1 : 364
player 0 : 209 player 1 : 365
player 0 : 210 player 1 : 365
player 0 : 211 player 1 : 365
player 0 : 212 player 1 : 365
player 0 : 213 player 1 : 365
player 0 : 214 player 1 : 365
player 0 : 214 player 1 : 366
player 0 : 215 player 1 : 366
player 0 : 216 player 1 : 366
player 0 : 216 player 1 : 367
player 0 : 217 player 1 : 367
player 0 : 217 player 1 : 368
player 0 : 217 player 1 : 369
player 0 : 218 player 1 : 369
player 0 : 219 player 1 : 369
player 0 : 220 player 1 : 369
player 0 : 220 player 1 : 370
player 0 : 220 player 1 : 371
player 0 : 220 player 1 : 372
player 0 : 221 player 1 : 372
player 0 : 222 player 1 : 372
player 0 : 222 player 1 : 373
player 0 : 222 player 1 : 374
player 0 : 222 player 1 : 375
player 0 : 222 player 1 : 376
player 0 : 222 player 1 : 377
player 0 : 223 player 1 : 377
player 0 : 224 player 1 : 377
player 0 : 224 player 1 : 378
player 0 : 224 player 1 : 379
player 0 : 224 player 1 : 380
player 0 : 225 player 1 : 380
player 0 : 225 player 1 : 381
player 0 : 226 player 1 : 381
player 0 : 227 player 1 : 381
player 0 : 228 player 1 : 381
player 0 : 228 player 1 : 382
player 0 : 229 player 1 : 382
player 0 : 230 player 1 : 382
player 0 : 231 player 1 : 382
player 0 : 231 player 1 : 383
player 0 : 231 player 1 : 384
player 0 : 232 player 1 : 384
player 0 : 233 player 1 : 384
player 0 : 233 player 1 : 385
player 0 : 233 player 1 : 386
player 0 : 234 player 1 : 386
player 0 : 235 player 1 : 386
player 0 : 235 player 1 : 387
player 0 : 235 player 1 : 388
player 0 : 235 player 1 : 389
player 0 : 236 player 1 : 389
player 0 : 237 player 1 : 389
player 0 : 237 player 1 : 390
player 0 : 237 player 1 : 391
player 0 : 238 player 1 : 391
player 0 : 239 player 1 : 391
player 0 : 239 player 1 : 392
player 0 : 240 player 1 : 392
player 0 : 241 player 1 : 392
player 0 : 242 player 1 : 392
player 0 : 243 player 1 : 392
player 0 : 244 player 1 : 392
player 0 : 244 player 1 : 393
player 0 : 244 player 1 : 394
player 0 : 244 player 1 : 395
player 0 : 244 player 1 : 396
player 0 : 245 player 1 : 396
player 0 : 245 player 1 : 397
player 0 : 245 player 1 : 398
player 0 : 245 player 1 : 399
player 0 : 246 player 1 : 399
player 0 : 246 player 1 : 400
player 0 : 246 player 1 : 401
player 0 : 246 player 1 : 402
player 0 : 247 player 1 : 402
player 0 : 248 player 1 : 402
player 0 : 248 player 1 : 403
player 0 : 248 player 1 : 404
player 0 : 249 player 1 : 404
player 0 : 249 player 1 : 405
player 0 : 250 player 1 : 405
player 0 : 250 player 1 : 406
player 0 : 250 player 1 : 407
player 0 : 250 player 1 : 408
player 0 : 250 player 1 : 409
player 0 : 251 player 1 : 409
player 0 : 252 player 1 : 409
player 0 : 253 player 1 : 409
player 0 : 254 player 1 : 409
player 0 : 254 player 1 : 410
player 0 : 254 player 1 : 411
player 0 : 255 player 1 : 411
player 0 : 255 player 1 : 412
player 0 : 255 player 1 : 413
player 0 : 255 player 1 : 414
player 0 : 255 player 1 : 415
player 0 : 255 player 1 : 416
player 0 : 255 player 1 : 417
player 0 : 255 player 1 : 418
player 0 : 255 player 1 : 419
player 0 : 255 player 1 : 420
player 0 : 256 player 1 : 420
player 0 : 256 player 1 : 421
player 0 : 257 player 1 : 421
player 0 : 258 player 1 : 421
player 0 : 258 player 1 : 422
player 0 : 258 player 1 : 423
player 0 : 259 player 1 : 423
player 0 : 259 player 1 : 424
player 0 : 259 player 1 : 425
player 0 : 259 player 1 : 426
player 0 : 259 player 1 : 427
player 0 : 260 player 1 : 427
player 0 : 261 player 1 : 427
player 0 : 262 player 1 : 427
player 0 : 263 player 1 : 427
player 0 : 264 player 1 : 427
player 0 : 264 player 1 : 428
player 0 : 264 player 1 : 429
player 0 : 265 player 1 : 429
player 0 : 266 player 1 : 429
player 0 : 266 player 1 : 430
player 0 : 267 player 1 : 430
player 0 : 268 player 1 : 430
player 0 : 268 player 1 : 431
player 0 : 268 player 1 : 432
player 0 : 268 player 1 : 433
player 0 : 268 player 1 : 434
player 0 : 269 player 1 : 434
player 0 : 269 player 1 : 435
player 0 : 270 player 1 : 435
player 0 : 270 player 1 : 436
player 0 : 270 player 1 : 437
player 0 : 270 player 1 : 438
player 0 : 270 player 1 : 439
player 0 : 270 player 1 : 440
player 0 : 270 player 1 : 441
player 0 : 270 player 1 : 442
player 0 : 271 player 1 : 442
player 0 : 271 player 1 : 443
player 0 : 271 player 1 : 444
player 0 : 271 player 1 : 445
player 0 : 272 player 1 : 445
player 0 : 272 player 1 : 446
player 0 : 273 player 1 : 446
player 0 : 273 player 1 : 447
player 0 : 274 player 1 : 447
player 0 : 274 player 1 : 448
player 0 : 275 player 1 : 448
player 0 : 275 player 1 : 449
player 0 : 276 player 1 : 449
player 0 : 277 player 1 : 449
player 0 : 277 player 1 : 450
player 0 : 277 player 1 : 451
player 0 : 277 player 1 : 452
player 0 : 278 player 1 : 452
player 0 : 279 player 1 : 452
player 0 : 279 player 1 : 453
player 0 : 279 player 1 : 454
player 0 : 279 player 1 : 455
player 0 : 279 player 1 : 456
player 0 : 279 player 1 : 457
player 0 : 280 player 1 : 457
player 0 : 280 player 1 : 458
player 0 : 280 player 1 : 459
player 0 : 281 player 1 : 459
player 0 : 281 player 1 : 460
player 0 : 281 player 1 : 461
player 0 : 281 player 1 : 462
player 0 : 282 player 1 : 462
player 0 : 282 player 1 : 463
player 0 : 282 player 1 : 464
player 0 : 282 player 1 : 465
player 0 : 282 player 1 : 466
player 0 : 283 player 1 : 466
player 0 : 283 player 1 : 467
player 0 : 284 player 1 : 467
player 0 : 284 player 1 : 468
player 0 : 284 player 1 : 469
player 0 : 284 player 1 : 470
player 0 : 284 player 1 : 471
player 0 : 285 player 1 : 471
player 0 : 286 player 1 : 471
player 0 : 286 player 1 : 472
player 0 : 287 player 1 : 472
player 0 : 288 player 1 : 472
player 0 : 288 player 1 : 473
player 0 : 288 player 1 : 474
player 0 : 288 player 1 : 475
player 0 : 288 player 1 : 476
player 0 : 288 player 1 : 477
player 0 : 289 player 1 : 477
player 0 : 290 player 1 : 477
player 0 : 290 player 1 : 478
player 0 : 290 player 1 : 479
player 0 : 290 player 1 : 480
player 0 : 290 player 1 : 481
player 0 : 290 player 1 : 482
player 0 : 290 player 1 : 483
player 0 : 291 player 1 : 483
player 0 : 291 player 1 : 484
player 0 : 292 player 1 : 484
player 0 : 292 player 1 : 485
player 0 : 292 player 1 : 486
player 0 : 292 player 1 : 487
player 0 : 293 player 1 : 487
player 0 : 293 player 1 : 488
player 0 : 293 player 1 : 489
player 0 : 293 player 1 : 490
player 0 : 293 player 1 : 491
player 0 : 294 player 1 : 491
player 0 : 294 player 1 : 492
player 0 : 294 player 1 : 493
player 0 : 295 player 1 : 493
player 0 : 296 player 1 : 493
player 0 : 297 player 1 : 493
player 0 : 298 player 1 : 493
player 0 : 298 player 1 : 494
player 0 : 299 player 1 : 494
player 0 : 299 player 1 : 495
player 0 : 299 player 1 : 496
player 0 : 299 player 1 : 497
player 0 : 300 player 1 : 497
player 0 : 301 player 1 : 497
player 0 : 301 player 1 : 498
player 0 : 301 player 1 : 499
player 0 : 301 player 1 : 500
player 0 : 302 player 1 : 500
player 0 : 303 player 1 : 500
player 0 : 303 player 1 : 501
player 0 : 304 player 1 : 501
player 0 : 305 player 1 : 501
player 0 : 305 player 1 : 502
player 0 : 305 player 1 : 503
player 0 : 306 player 1 : 503
player 0 : 307 player 1 : 503
player 0 : 308 player 1 : 503
player 0 : 309 player 1 : 503
player 0 : 309 player 1 : 504
player 0 : 309 player 1 : 505
player 0 : 309 player 1 : 506
player 0 : 310 player 1 : 506
player 0 : 310 player 1 : 507
player 0 : 310 player 1 : 508
player 0 : 311 player 1 : 508
player 0 : 311 player 1 : 509
player 0 : 311 player 1 : 510
player 0 : 312 player 1 : 510
player 0 : 312 player 1 : 511
player 0 : 312 player 1 : 512
player 0 : 312 player 1 : 513
player 0 : 312 player 1 : 514
player 0 : 312 player 1 : 515
player 0 : 313 player 1 : 515
player 0 : 314 player 1 : 515
player 0 : 314 player 1 : 516
player 0 : 315 player 1 : 516
player 0 : 316 player 1 : 516
player 0 : 317 player 1 : 516
player 0 : 318 player 1 : 516
player 0 : 318 player 1 : 517
player 0 : 318 player 1 : 518
player 0 : 319 player 1 : 518
player 0 : 319 player 1 : 519
player 0 : 319 player 1 : 520
player 0 : 319 player 1 : 521
player 0 : 320 player 1 : 521
player 0 : 320 player 1 : 522
player 0 : 320 player 1 : 523
player 0 : 321 player 1 : 523
player 0 : 321 player 1 : 524
player 0 : 321 player 1 : 525
player 0 : 322 player 1 : 525
player 0 : 322 player 1 : 526
player 0 : 323 player 1 : 526
player 0 : 323 player 1 : 527
player 0 : 323 player 1 : 528
player 0 : 323 player 1 : 529
player 0 : 323 player 1 : 530
player 0 : 323 player 1 : 531
player 0 : 323 player 1 : 532
player 0 : 323 player 1 : 533
player 0 : 324 player 1 : 533
player 0 : 325 player 1 : 533
player 0 : 325 player 1 : 534
player 0 : 325 player 1 : 535
player 0 : 326 player 1 : 535
player 0 : 326 player 1 : 536
player 0 : 327 player 1 : 536
player 0 : 327 player 1 : 537
player 0 : 328 player 1 : 537
player 0 : 328 player 1 : 538
player 0 : 328 player 1 : 539
player 0 : 328 player 1 : 540
player 0 : 328 player 1 : 541
player 0 : 328 player 1 : 542
player 0 : 328 player 1 : 543
player 0 : 328 player 1 : 544
